step,p,reward_timestamp,mean_reward,mean_r_pub,mean_r_pri,learning_rate,update_timestamp,update_seconds,kl
157,20,2026-08-15T10:52:57.916+08:00,0.107341,0.412667,0.195238,9.3206535e-06,2026-08-15T10:53:06.079+08:00,8.158,3.324913263320923
158,20,2026-08-15T10:53:11.721+08:00,0.119888,0.186855,0.020833,9.3206535e-06,2026-08-15T10:53:19.883+08:00,8.157,5.694450378417969
159,20,2026-08-15T10:53:25.409+08:00,0.262498,0.312498,0.096429,9.3206535e-06,2026-08-15T10:53:33.574+08:00,8.16,2.1906583309173584
160,20,2026-08-15T10:53:39.205+08:00,0.043942,0.049652,0.026261,9.3206535e-06,2026-08-15T10:53:47.375+08:00,8.165,6.719967842102051
161,20,2026-08-15T10:53:52.867+08:00,0.048185,0.176826,0.068452,9.2274469e-06,2026-08-15T10:54:01.038+08:00,8.166,4.181166172027588
162,20,2026-08-15T10:54:06.582+08:00,0.105691,0.246952,0.157812,9.2274469e-06,2026-08-15T10:54:14.745+08:00,8.158,2.57723331451416
163,20,2026-08-15T10:54:20.343+08:00,0.12511,0.166957,0.085417,9.2274469e-06,2026-08-15T10:54:28.501+08:00,8.154,4.013011932373047
164,20,2026-08-15T10:54:34.043+08:00,0.174819,0.356781,0.097222,9.2274469e-06,2026-08-15T10:54:42.198+08:00,8.15,4.250958442687988
165,20,2026-08-15T10:54:47.793+08:00,0.174149,0.324144,0.145833,9.2274469e-06,2026-08-15T10:54:55.954+08:00,8.156,3.679617166519165
166,20,2026-08-15T10:55:01.438+08:00,0.09701,0.128259,0.0625,9.2274469e-06,2026-08-15T10:55:09.602+08:00,8.159,3.090855360031128
167,20,2026-08-15T10:55:15.137+08:00,0.073857,0.219719,0.073615,9.2274469e-06,2026-08-15T10:55:23.302+08:00,8.16,5.820796489715576
168,20,2026-08-15T10:55:28.955+08:00,0.075232,0.143844,0.133631,9.2274469e-06,2026-08-15T10:55:37.137+08:00,8.175,0.5003255009651184
169,20,2026-08-15T10:55:43.419+08:00,0.210764,0.250084,0.125,9.2274469e-06,2026-08-15T10:55:51.594+08:00,8.169,4.240560531616211
170,20,2026-08-15T10:55:57.269+08:00,0.044377,0.202439,0.157341,9.2274469e-06,2026-08-15T10:56:05.467+08:00,8.19,1.9286977052688599
171,20,2026-08-15T10:56:11.232+08:00,0.099635,0.100562,0.023674,9.2274469e-06,2026-08-15T10:56:19.436+08:00,8.183,2.2593162059783936
172,20,2026-08-15T10:56:24.985+08:00,0.066973,0.12247,0.048611,9.2274469e-06,2026-08-15T10:56:33.147+08:00,8.157,1.6064393520355225
173,20,2026-08-15T10:56:38.750+08:00,0.257754,0.266985,0.012821,9.2274469e-06,2026-08-15T10:56:46.912+08:00,8.157,4.973467826843262
174,20,2026-08-15T10:56:52.801+08:00,0.169345,0.203392,0.041667,9.2274469e-06,2026-08-15T10:57:00.991+08:00,8.184,6.185903072357178
175,20,2026-08-15T10:57:06.802+08:00,0.128937,0.231965,0.134896,9.2274469e-06,2026-08-15T10:57:14.963+08:00,8.157,3.7712745666503906
176,20,2026-08-15T10:57:21.050+08:00,0.095842,0.312547,0.21875,9.2274469e-06,2026-08-15T10:57:29.216+08:00,8.158,7.466429710388184
177,20,2026-08-15T10:57:35.375+08:00,0.035541,0.173065,0.155449,9.2274469e-06,2026-08-15T10:57:43.525+08:00,8.144,6.752533435821533
178,20,2026-08-15T10:57:49.674+08:00,0.103218,0.148993,0.153186,9.2274469e-06,2026-08-15T10:57:57.844+08:00,8.165,3.7368838787078857
179,20,2026-08-15T10:58:04.025+08:00,0.143192,0.223746,0.2375,9.2274469e-06,2026-08-15T10:58:12.182+08:00,8.153,3.7095322608947754
